Symbol	GSM753769	GSM753776	GSM753780	GSM712086	GSM712088	GSM712089	GSM712094	GSM712095	GSM712099	GSM712112	GSM712114	GSM712122	GSM712126	GSM712127	GSM712130	GSM712131	GSM712134	GSM712137	GSM712140	GSM712142	GSM712143	GSM712144	GSM712146	GSM712154	GSM712161	GSM712162	GSM712164	GSM753771	GSM753772	GSM753774	GSM712082	GSM712083	GSM712084	GSM712087	GSM712092	GSM712098	GSM712105	GSM712109	GSM712116	GSM712120	GSM712132	GSM712141	GSM712160	GSM712400	GSM712404	GSM712405	GSM712407	GSM712409	GSM712414	GSM712417	GSM712419	GSM712420	GSM712424	GSM712425	GSM712427	GSM712430	GSM712431	GSM712432	GSM712433	GSM712435	GSM712436	GSM712437	GSM712438	GSM712439	GSM712442	GSM712443	GSM712444	GSM712453	GSM712455	GSM712456	GSM712458	GSM712459	GSM712460	GSM712468	GSM712473	GSM712474
AARS	7.73967	7.28355	7.17115	9.24331	9.36814	8.13051	7.75351	7.77151	8.14813	7.80511	8.04087	8.2633	8.94637	8.45325	8.58172	8.90335	8.72465	7.84047	8.56243	8.35352	8.58794	10.1854	8.05094	7.74219	7.80849	7.97076	8.99798	7.677	7.29615	6.33717	9.06102	9.12484	8.88721	8.52062	7.67037	8.46278	9.56225	8.90759	8.65836	8.22123	7.92061	8.8686	8.6796	8.31556363729779	8.03711978105851	8.52323006578459	8.89547913762932	7.92564174322927	8.71200337156909	8.70740929917947	6.65217923330435	9.59061971608286	8.47619824969591	9.15360858002078	7.77123784150957	8.59759661259147	9.05139046935186	9.17815815435278	8.17545878589077	8.92921685674055	8.44791599154734	8.10930414348032	8.69879541344895	9.31282190127336	7.6721781556085	8.52272758911697	9.19007402961335	6.22102553953903	7.8491647944184	8.52766621693581	8.17158253731203	8.09667044440888	8.22998468256501	8.45973137147438	8.98606850256203	8.89949895097023
ABCC2	3.78954	3.91382	2.96091	3.66687	3.83427	3.67958	3.48947	3.87529	6.42301	4.19257	3.50231	3.80408	3.71812	3.46293	5.02359	3.8171	3.81951	3.53094	4.39514	3.31004	3.50394	3.94158	4.71661	4.11422	3.56428	3.63203	3.59368	5.92112	2.91355	3.30485	5.81213	3.35794	5.72627	5.98768	4.3972	3.58388	3.57026	7.61019	3.804	4.27602	4.03527	3.99203	3.67229	4.02107141635941	3.90441529188395	4.17806106567224	2.75945622457265	3.4298114146435	4.02121332050634	7.43837433548192	3.59436564655775	4.33494155794896	3.58556758944844	3.57702059352215	5.02266363246264	4.81197963709435	3.27166470074806	3.72115154398289	3.37347546831451	3.6278441095283	5.85024861732572	5.48665744579459	5.06931734968994	5.37645250215238	7.46691890042094	4.98330160524653	4.22157106025998	3.54003818969293	3.63528861939002	4.85648296071056	3.62561730599195	3.91548381534405	3.32367802844766	6.31873970054482	5.23302015672264	3.46425045953169
ABCC5	5.30677	5.31097	6.19877	6.46461	6.36501	5.63661	5.36024	6.2636	5.83819	5.84097	6.4441	6.20797	5.74836	6.09141	5.62155	6.15337	4.90356	5.51443	5.87948	5.43815	5.78408	6.48566	6.4705	6.18692	5.72967	5.90797	5.38177	5.84248	4.85227	5.30145	6.40073	5.4225	6.01371	5.75019	5.83843	6.36458	5.78452	6.0042	5.48115	6.23905	5.86475	6.62872	4.86784	5.87624611701151	5.84986335743132	4.79387028178053	6.43419303299138	5.36831192808223	6.42273040664623	5.68880299667196	5.14032568554976	5.79977355220165	5.28065201613821	5.24248730632813	5.87188569430961	6.32642672747747	6.24132140661133	6.36609996736371	5.92506963787067	5.7865381277378	6.06781842551574	5.7281679238419	6.93916521761052	5.13448976627701	5.1651778927169	5.72866342642166	6.0111549527279	5.66398382301013	5.16427497690489	6.22840530603221	5.87948340053262	5.44109575146498	5.21653398231707	5.61529243617223	6.28970448073293	6.28512383466224
ABCF1	8.11421	7.31028	7.12754	8.37179	8.60261	7.73483	7.30098	7.77169	8.24201	8.23237	8.12407	7.91509	7.99589	7.98239	8.26883	8.19351	8.15852	7.98896	8.71135	7.97277	8.6144	8.40291	7.95109	7.88431	8.49373	7.38195	8.81985	6.9024	7.22139	6.24703	8.37416	8.24332	8.33178	7.89556	7.71249	7.9509	8.1991	8.13521	7.54864	8.29829	7.85297	8.65196	7.40634	7.99369601154146	8.48211304933229	7.46420881031251	8.71070545482838	8.46172116901992	8.83510451681826	8.66916272674818	7.32547528751315	7.8036963851478	7.51624820150293	7.84658520645086	8.58221083260722	8.57830143420463	8.62782048063735	8.83622148779043	8.51645274665608	8.62495645250359	7.9499336616576	8.28060002984091	8.43577307412805	8.55213853720273	7.65501036458363	8.65711948844572	8.43103310756667	7.53261612228738	7.30363707299323	7.9769700872403	7.78901824096228	7.87226121867002	7.55389585132121	8.03533898060634	8.55692146418611	8.15078795467822
ABHD12	8.26195	7.06008	6.22627	8.19327	8.1868	7.8118	7.67711	7.29762	7.67865	7.15952	7.87373	7.27869	7.71527	7.87533	7.60423	8.65013	7.54345	7.64996	7.98856	7.87921	7.61915	9.30633	8.89256	7.9968	7.49475	7.50269	8.01764	7.39846	6.64106	6.44122	7.09549	7.94881	7.34242	7.64944	8.08341	7.92729	7.51053	8.49709	8.11411	8.67832	8.58998	8.16087	7.43006	8.14266516097801	7.37732609931443	7.27518561961381	7.87771954200024	7.33069034680774	8.63062240299537	7.25841856660731	7.29544353596584	8.16868300185016	7.19594302167028	7.62536284896229	8.52032203022458	8.79317663646956	7.98692901997555	6.99797834313487	7.73440869271828	7.9944452851164	8.90441517876446	7.61175939086267	7.93657331621628	8.19570446593415	8.42431237927455	8.49395510301787	7.75848474085448	6.57202756129249	7.0175599047137	8.52658376635062	7.32627222288605	6.97510227927369	7.39037320106835	6.98680758042917	7.81226585427155	8.44637027203911
ACOX1	7.20244	7.94202	5.8667	8.24287	8.52435	7.66752	7.18895	7.2546	7.85139	7.71514	9.16617	8.31518	7.18205	7.6841	8.69216	8.35369	7.06592	8.1223	7.85863	7.18991	7.5354	8.87188	8.1857	7.18214	7.60313	7.95936	8.11311	6.24164	6.8801	6.01858	8.51839	7.38877	8.24043	7.74156	8.38981	7.97047	7.16023	8.68397	8.12906	8.33811	8.6441	8.38522	6.92996	7.0017787413594	7.35710516113052	5.94691313174053	9.0635338509062	6.07238635616485	8.14401363359282	7.56625903470474	6.80844182358028	7.361426472827	8.27737742992699	6.64004197799434	8.11144861064262	7.57253806772226	8.3395231445453	8.08942424578077	7.1222382892298	7.657042392306	8.34527693525718	7.39874255117829	8.63759815300075	8.5073141865497	8.31526649988445	7.80674838674092	7.49827596809866	6.53061251854255	7.03575236867474	8.89127824930379	8.62123208024976	7.99291097211789	6.8622194732836	8.01811066546388	8.70210745799448	8.01936408460236
ACTN4	9.70537	9.68512	9.42887	10.3498	11.4692	10.0135	9.88538	10.2793	10.5235	10.3326	10.6083	10.7678	11.1453	10.4473	11.4968	10.7349	11.3573	10.8495	10.6775	10.578	11.0381	11.5752	10.5025	9.42505	9.96998	10.4462	11.1597	8.94953	9.37799	8.02755	10.5634	10.5672	10.684	10.3377	11.0241	10.6352	10.694	10.9406	10.1845	10.8065	10.2454	11.22	9.63594	10.3807226887279	10.8169867061139	9.46235794448809	10.667156829711	10.8899993302861	10.7430682181183	11.9723254265751	9.59044708912758	10.1345089015072	10.8834771107571	11.0679109852168	10.5080871423087	11.7003851067676	10.6734978764753	10.8392709561714	10.6646204110053	10.9631931272229	11.2036093859734	10.8842018018158	11.0488878449238	10.7869120271745	10.1033471859796	11.205058768091	10.3894189814333	9.78738188435124	9.79897694129173	10.9987029891032	10.8209725069372	11.1800569265631	10.2223776923844	9.78575132946898	11.1322273166835	10.4450390201947
ADAM19	6.00477	6.0406	5.87108	6.08811	8.1867	6.57136	6.17204	6.665	6.30725	6.03841	6.64067	7.60697	6.49949	5.62537	7.71037	6.15086	5.88845	6.68068	6.58104	5.58705	7.43892	7.92646	6.54264	5.64699	6.12575	6.00772	6.8102	6.06628	5.54596	5.71316	6.79833	6.77361	6.42967	6.91023	6.30739	7.28557	6.49264	7.10797	6.42875	7.05537	6.11115	6.36983	5.89102	5.81068234068014	7.0906451060745	5.77507065839479	6.91469691947213	8.70703800061884	7.14578619822558	7.7207241604807	5.70738618017558	6.29675493455296	6.28124936953876	6.57945952609247	7.69496893203361	6.22195336267128	6.39425780703024	6.72168343646361	7.31643916228717	6.30186665928291	6.41064154013907	6.77776823164176	6.59575151029589	5.9833931016202	6.14868530820858	7.30452491157043	6.215137729698	5.37158518637697	7.29154899494823	6.39787533530066	5.47924597338173	5.93848856591552	6.96864527585289	7.08204692293898	8.09190091080789	7.06207187553269
ADH1B	2.9543	2.33245	2.18902	3.12439	5.68656	3.79493	3.11721	5.09373	3.40545	2.9537	4.18281	2.7687	4.24527	2.94487	4.33697	2.44404	3.19784	3.93569	3.18637	2.76957	3.0363	4.62443	3.01984	4.61429	2.43544	3.79816	4.39717	2.0935	2.58937	3.54447	3.14286	5.12482	4.9038	7.62317	2.66308	2.86021	3.2076	3.1708	3.36995	2.74894	3.60238	4.02473	2.74937	3.18393371985084	3.3638784966345	3.01648087213345	5.09259373427489	3.16985329522681	4.54552857214497	3.2813783913464	2.81076434342061	2.57039319561956	4.81482304706181	3.76818238599693	3.00091361566735	3.42818079681284	2.85211605978036	2.65909478756517	5.14545886643732	4.86505763058058	4.52879218294835	2.14049546583041	4.0827934621857	2.74911800781485	4.33978662750321	3.64618592716055	3.00364582802671	2.66027662826015	3.00185400503755	6.01065521091201	3.9046405083912	3.32800391295792	5.39327688141317	1.83064987631494	4.14423647036006	5.72689907243728
ADRBK1	6.90991	6.8971	6.80943	8.34118	8.02196	7.41543	7.31812	7.25712	7.79316	7.45185	7.65305	7.99462	7.83749	7.3166	7.92688	8.51762	7.49157	7.94927	7.78639	7.9963	7.53728	8.21881	7.43469	7.29341	7.79009	7.79724	8.36626	7.19854	6.77799	6.40433	8.47379	7.86519	7.75196	7.91147	7.80429	7.90266	7.29726	8.20329	8.02293	7.91024	7.50668	7.99213	7.60962	7.79012780870424	7.18667100321856	7.16535105951746	7.92474277342785	7.08861764145529	7.87532881524376	8.1577130449302	7.70369276601453	8.55062227832331	7.22555626999361	8.1697252053283	7.63102904163915	7.65960879375572	8.10086861375669	8.45435433056456	8.07024088675258	7.7492076950858	7.95149772740744	7.11914034410619	7.53715039791587	7.78146329956463	7.40115698855641	7.85370692652718	7.5001424414544	6.94734675834716	6.93635858539283	7.57961962074412	7.47707646788123	7.07832525484096	6.97898534475089	7.72266278981262	8.84135594408974	7.28959486936183
ADRM1	7.961	8.22924	7.09409	9.70417	9.17986	9.07616	8.63685	8.33702	9.94738	9.12201	8.96121	9.39649	8.69741	9.14754	9.62981	9.24732	9.79276	9.19616	10.0877	9.77549	9.45257	10.0491	9.16086	8.2136	9.15213	8.76903	9.63821	8.30251	7.85318	7.48105	10.0749	9.1137	9.10343	9.21258	10.0149	9.38481	8.69229	9.36679	9.62157	10.2972	8.98985	9.90289	8.96555	9.77027968193569	9.63508103889428	8.74119342098574	8.77671095229298	9.90622199188052	9.99189241915428	10.8115620801017	8.79308649750625	9.22106680042336	9.27440259073651	9.47608505494349	9.64355884159325	9.8238236989818	9.28912719542419	9.95426287384133	8.98243896445457	9.0151900548811	9.2717253898842	9.36557615309557	9.58599902326869	9.14280329550764	9.28957339556624	10.0617971080756	9.22164686060803	9.06012240918562	8.50649214626699	10.2271886273958	8.59140403329926	9.33538327681679	8.33989588656327	9.48099325650606	10.418905955097	9.03702411516545
AGPAT6	7.72964	6.95584	7.2784	7.3542	8.387	7.19389	7.21316	7.37105	7.56461	7.25678	7.49773	7.88256	8.25934	7.73961	8.02045	8.39336	6.67887	7.1749	8.15205	7.75907	7.39563	9.06235	9.00961	6.90736	8.40092	7.93845	7.79639	7.19779	7.0714	6.76992	7.93504	8.04915	8.5594	7.71591	7.45908	7.91324	8.35716	8.43772	7.75334	7.94501	8.60456	8.13434	7.30969	6.35072157334771	7.75909907087325	6.96390990734691	8.5034043209875	6.60601095089378	8.52853062066245	8.16315409987277	7.40479158997387	8.6694820069462	7.76587517514069	7.68387449306361	7.05577311799546	7.95968859223136	8.09056701192292	8.70312403185994	7.61005283539216	8.12499467211405	8.47463042895327	7.67513430060269	7.67028019692457	7.76003902736583	7.6471039562417	7.3899767533146	7.72600418481339	7.60616674660937	8.16017990917981	7.48067554024846	7.25620831813838	7.32611582862429	7.75765406313091	8.02258150202633	9.13922175681568	8.67384508857596
AGR3	3.16053	2.69318	4.89907	5.26638	4.48758	4.83161	6.37674	4.63521	2.108	4.84123	5.78265	2.70903	3.77199	6.75267	2.2576	4.12962	3.69632	4.93005	2.71944	5.61927	4.66014	4.28755	2.57579	4.87205	7.08194	5.41154	5.11516	2.71361	4.20145	3.00475	2.75373	5.6887	6.0745	5.12276	4.21942	3.10528	6.03243	2.34095	7.53269	3.17277	3.67888	4.08973	5.52369	3.30070184228281	2.20783812627627	5.03978232650788	6.5686809442954	0.597378621091517	2.71580946986604	1.43565571976546	4.18926270943778	4.15445445317594	3.84860578392884	4.32478757442295	3.36792388964071	2.01164105444499	6.14981724601831	3.44524554882619	4.17011630509675	4.24333849084668	3.77912902618139	2.44396779616382	4.20894949891349	4.36515807077802	1.98357829538165	2.63109944151149	5.4908827931645	5.13257949791255	5.72959326791943	5.08475541349285	4.45229983223865	3.49402928270921	4.18785584469058	4.94830816698468	4.02000104147506	3.14051491778878
AGT	5.85295	6.17206	4.21894	6.25317	5.8567	6.43973	5.62725	5.50513	6.53767	5.05939	6.27023	6.36921	5.93635	5.93463	6.30988	6.27512	4.75654	6.50924	5.82937	6.48017	5.58054	6.75199	7.01441	8.9241	6.22296	5.67956	6.25433	5.80907	4.41895	4.74772	7.4326	5.7856	7.70527	6.9763	6.24753	5.70867	5.44436	8.03278	6.10395	6.92444	6.37182	7.58114	5.1628	6.14221028903853	6.03495644346442	4.99213435894914	6.55211293918092	4.49691823247251	7.55964192377336	5.80180729300977	6.017309893503	7.55672265030052	6.53603729871161	6.84084610383155	7.56434156133727	6.55047657512663	6.51956893086928	6.52081256755054	7.58242011140902	6.53878639032281	7.89209873595451	8.40374395753618	6.60147876997061	5.28338097878715	7.5258280969556	7.09741489663113	6.13015355868655	4.83031759034892	5.26352206462434	6.64107878008433	6.11502046391252	5.16528785771745	5.47131411769377	5.96980297227898	7.33081277442203	6.5600460321161
ALG3	8.29878	7.83925	7.07348	10.0936	9.0885	8.45371	8.17479	7.41158	8.46362	7.83524	8.56964	8.61394	8.05682	8.68195	8.55388	8.95464	8.30165	7.9802	8.16571	8.52727	8.2904	9.28239	8.62331	7.96532	8.87298	8.19106	8.82197	7.8496	7.59579	7.49187	8.9866	9.31005	8.56278	8.60107	8.59623	8.4108	8.26709	8.63839	9.18378	8.77734	8.01542	8.90706	8.69729	8.58115342504509	8.78311840452784	7.78488029135567	8.44883775017097	8.22507521320823	9.10097694625819	8.75654981824249	8.36086306538004	8.43960433054228	8.62193221841916	9.07294232955825	8.39828542069967	8.55223147414686	8.41609640424527	9.38183750989418	8.21377134711684	8.97366377867594	9.21877377606156	9.46902773981414	8.64236662481191	8.28223753946107	8.46131186861085	9.45012366341556	8.78009632428725	8.33127239885411	8.36101738437105	8.72281825879115	9.06059681027755	8.58117914487692	7.54747338360456	8.16261460159742	8.71950040048447	8.09030329439389
ALKBH6	5.91111	5.87007	4.99257	6.65106	7.20927	6.93619	6.59912	6.11007	6.62839	6.56728	6.35272	6.43069	7.25525	7.35439	6.64317	6.88215	6.67915	6.27701	6.2836	6.96528	6.32031	7.05877	6.36593	6.66569	6.72034	6.62942	6.46781	5.64803	5.47287	5.06101	6.50943	7.01076	6.99131	6.70307	6.9947	6.5381	6.84334	6.28651	7.11314	6.80835	6.4091	7.20468	5.77859	6.22163984327964	6.27804555673448	5.69052856850598	6.65925692190904	7.05711382625906	6.80180217488418	6.27376784828993	6.52643782708151	6.22921964245333	6.14624710813232	6.74776796295299	6.11547762633817	6.72292723496796	6.70649182883889	6.65889669382949	6.23669437510381	6.69916719122155	6.97652780296501	6.1907652949623	7.17595907350105	6.1280705996188	6.15343666021983	7.40503411308267	7.56000723480199	6.50482414230903	6.35136698042445	6.81391484405876	6.5398413135411	6.85687204254405	5.31296451263678	6.005412938535	6.62577072001501	5.75940717921493
AMACR	8.43572	7.01001	5.69812	7.40667	8.30147	7.03477	6.44224	7.09903	8.61689	6.94582	7.90131	7.04467	6.54842	7.2215	7.94579	9.3898	5.56215	7.25141	8.29349	7.60055	6.84308	8.83185	9.0427	7.31789	7.62862	7.28694	6.89492	8.06229	5.97697	6.12781	8.2921	7.59121	9.06473	7.57367	8.58446	8.29448	6.10908	7.62284	7.90553	8.11276	8.03817	8.56948	6.02556	7.68024784805528	7.33333399321837	4.98337176752331	8.47546018395311	5.63663140892657	8.54522209574544	6.65005113773872	6.6902993059382	8.88806018671405	7.62401652445364	6.83227569673433	9.07763059919323	7.88054083699031	7.62983396648659	7.65574587224234	6.39581351830257	8.81380782577611	8.9923239135776	7.47323695762801	9.11199023645508	9.40215144905603	8.07541922101891	9.18272369661138	7.86120465491744	6.6630011665412	5.79001756892379	8.82309677598759	8.06385542585768	8.09024125764463	6.30447612393995	8.93083201102966	8.54491404382517	8.19847411501946
ANKH	7.68752	7.40145	6.23996	8.35858	9.52489	8.29515	7.82296	8.00547	7.8499	7.15342	8.82558	8.27544	6.99541	8.36603	8.554	8.95494	7.10049	8.58029	8.82256	8.51148	7.78036	8.87768	9.22464	8.18157	8.56842	7.50214	9.88931	7.10498	6.97394	7.29049	8.65728	7.55902	8.53576	8.38833	8.03341	9.25887	6.8008	8.53848	8.36606	8.55688	8.02888	9.0622	7.25178	8.76822233544221	8.19346431219739	5.26576328200739	9.02251381534376	8.45171159292891	9.10127976107318	8.42144213171082	7.33804280351791	8.02536028046731	7.65091280898416	8.05763681467288	8.29420303952807	8.59847297062356	8.68382024870726	8.62220777560336	9.20595095117583	9.0747910652501	8.96836952079791	7.66667766715904	8.58484354475512	9.08412628844766	8.26886957757569	8.26711922322614	8.48845736524031	7.29550919282402	7.70883786892502	8.67987611690629	8.61941887767309	7.87219260585334	6.77477877383509	8.50004471103428	8.73170994371075	8.34399478625806
ANXA9	5.22058	4.79664	4.39484	7.11778	6.27144	5.32161	4.82615	4.96201	5.74944	5.76251	5.54361	5.78804	5.39317	5.80784	6.53692	6.26858	5.67359	5.11037	5.68317	5.6103	6.28904	6.0075	6.12975	5.3708	5.3926	5.19229	6.20745	4.93023	4.3585	4.49062	6.65626	5.4576	6.25226	5.71721	5.60298	6.3693	5.57958	5.90558	5.59251	5.9955	5.70102	6.00752	5.80857	5.94166964109451	5.52822018660998	5.33733463378483	5.48720935317105	5.11146358952282	5.58061348003405	6.00384845235653	5.29175949052101	5.73092990682267	5.63505674883852	5.43580140702928	5.97801423223109	5.71262736419982	6.25491947021745	6.90482962079095	4.83242909534023	5.82511551601301	5.59960689833758	6.03663673261218	5.37029280150295	5.49189824713507	5.68204762095621	5.88788327047824	5.8288077368639	5.37534412205356	5.4645916690016	6.60081034379524	5.72361342010586	5.46932586628895	5.57717042746143	5.18164976318233	6.49185585120132	5.13934778502866
AP3D1	7.95339	8.04478	7.45096	9.12346	8.90585	8.16779	8.54711	8.44828	9.05835	8.59001	8.8463	8.90121	8.62631	8.05327	9.19612	9.16799	8.42058	8.75561	9.08699	9.10973	9.07301	9.45844	8.5651	8.54217	8.78472	8.95557	9.40424	7.50987	7.39309	6.60585	9.29368	8.66701	8.73871	8.78656	8.79715	9.03665	8.829	9.18822	8.47804	8.71022	8.57226	9.03444	8.22798	8.94613371586519	8.61324384735325	8.83750432790351	9.43613291246388	8.1377114081087	9.45569649892143	8.38591154050834	8.59146648663866	9.25166888541806	8.25593381785088	9.61529417791725	8.42273913396264	9.11609666347537	9.15726600023999	9.75549988086305	8.19499496213967	8.67215770025569	8.47882141514096	8.69882595758467	9.5842326941557	9.11623395180138	8.29955718344307	9.08458899265426	7.40366505097241	8.27573765887896	8.54041239040075	8.92548898384024	8.15809872452236	8.68087550895782	8.68274606239982	8.11145501575777	9.49653977591176	8.59067707876405
APBB1IP	4.6809	4.10101	4.70718	4.46236	6.36626	5.57885	4.88375	4.74103	4.78164	4.79505	4.8059	4.91644	6.13838	4.73371	5.12492	4.975	4.47734	5.23066	4.69426	4.77942	4.48626	4.73032	4.69718	4.50859	5.80905	5.19663	6.02345	3.76192	3.67677	4.73912	4.44178	6.3315	5.06101	6.12457	5.04353	5.17879	5.02255	4.4703	5.31984	4.57247	4.52497	5.36027	5.10625	3.7332331826288	4.24546244281755	4.90009326180028	5.22750223341962	4.23402447267132	4.97013620986344	5.81945812191804	4.45064418948981	4.53488519047478	4.51489798088387	5.2987614891466	5.018238838914	4.7803571285108	5.87777071818502	4.57943245866189	5.01078895447315	4.74476843407831	4.88811730941813	4.132673297531	5.14841884473986	4.00114833611535	4.79423940925065	4.85048194343595	3.96664730142069	3.78696123462449	5.67644840929216	5.44182967810246	4.19452955939544	4.94762282281692	5.48997908821701	4.307201752022	5.04118495080245	5.04262346852022
APLN	5.49375	5.31668	5.17101	5.83839	6.62717	6.3928	6.15948	5.70947	6.02058	5.89321	5.66588	6.59593	5.80682	6.04691	5.81043	5.81044	5.89707	6.10306	6.22745	6.33532	5.8258	6.12055	6.33284	5.89765	6.29626	5.93414	6.20883	4.89967	4.96865	5.48278	6.27482	5.62326	5.84444	5.8249	6.01678	5.87114	5.8342	6.48835	6.49659	6.19204	6.05713	6.50093	6.09559	6.02962162578759	6.2925846423766	6.51044848856893	7.0295193638631	6.07817461998792	6.68553321014151	6.08086209382907	6.42438633798421	6.52056850725199	6.90884548962897	6.07440585784351	5.85311968168159	5.49952790856686	5.63210645208167	6.25753200505013	5.60024518994156	5.64505041788686	5.72683990498196	6.43875802426751	5.50310770770682	5.85858911086611	5.77574982930182	6.15641580177713	6.4203446292778	5.56181221442428	7.17317323902794	5.66427215461785	5.83212379229767	6.1305908578349	5.73280273756699	5.55750805710057	5.87562727510117	5.33710370829279
APOA2	3.98224	4.37898	4.08698	4.78199	5.05187	4.64761	4.53844	4.35254	5.00702	5.10894	5.23679	4.60978	4.75908	4.56863	4.94266	4.74549	5.40593	4.80477	6.17235	4.75346	5.48462	4.82555	4.97289	5.09566	4.51132	4.63383	4.64819	3.98701	3.76963	3.84007	5.12268	4.37397	4.66051	4.94536	4.87865	4.54494	4.40389	4.46558	5.12612	4.96132	5.01531	4.7855	5.03365	5.24354496168685	5.12455962613143	5.02308060011781	2.71012814258362	4.88426001399036	5.49088373267207	4.28645486977141	5.14423786944299	5.41371466415372	5.89659049371259	5.6211474231042	5.13536695922674	4.78432489270465	4.78906127839533	5.09666466952222	5.54769419308351	5.08088543984552	5.12777827497095	5.81206825182915	4.00038764120492	4.60188245604479	4.84142319976027	5.35499394873996	4.5421935291915	5.82750729910817	4.8989401928438	4.61127672379592	4.94222186097854	4.87790121994155	4.13653910390447	4.93340328651578	4.16158176194857	5.95452617282402
APOBEC3F	5.51626	5.30954	4.16941	5.29236	5.9366	5.66547	5.58297	4.94873	5.94953	5.64925	5.62019	5.1129	6.55773	4.89734	5.27086	5.3097	7.39726	5.48021	5.00813	5.36757	5.80141	4.94676	5.56006	5.37633	5.36419	5.17399	5.67115	4.60123	3.93542	5.20119	5.26285	6.90699	5.88099	6.67514	5.52617	5.75886	6.50125	5.24012	6.20307	5.7171	5.4302	5.69773	5.28199	4.7961614775192	4.8374308915909	5.80369116530808	6.05473170024863	6.28868588412773	6.06631470940074	6.30399805720198	4.7690515858549	5.3277933463591	5.45057324337144	5.40108836817429	5.22946772427862	5.78504534569737	5.9865784044473	4.68302090422076	4.72364618997864	5.11689217581687	5.00326568115888	5.58907213134044	4.93740638619451	4.67405961031088	5.92042529656785	5.77760961884655	5.39783382511496	4.52975226702072	5.33032465762746	5.30214121877345	5.73582038192509	5.22962593123289	5.95141125861183	5.00821529872827	5.15244353854129	5.39347183337573
