Symbol	GSM358385	GSM358386	GSM358387	GSM358388	GSM358389	GSM358390	GSM358391	GSM358392	GSM358393	GSM358394	GSM358395	GSM358396	GSM358397	GSM358398	GSM358399	GSM358400	GSM358401	GSM358402	GSM358403	GSM358404	GSM358405	GSM358406	GSM358407	GSM358408	GSM358409	GSM358410	GSM358411	GSM358412	GSM358413	GSM358414	GSM358415	GSM358416	GSM358417	GSM358418	GSM358419	GSM358420	GSM358421	GSM358422	GSM358423	GSM358424	GSM358425	GSM358426	GSM358427	GSM358428	GSM358429	GSM358430	GSM358431	GSM358432	GSM358433	GSM358434	GSM358435	GSM358436	GSM358437	GSM358438	GSM358439	GSM358440	GSM358441	GSM358442	GSM358443	GSM358444	GSM358445	GSM358446	GSM358447	GSM358448	GSM358449	GSM358450	GSM358451	GSM358452	GSM358453	GSM358454	GSM358455	GSM358456	GSM358457	GSM358458	GSM358459	GSM358460	GSM358461	GSM358462	GSM358463	GSM358464	GSM358465	GSM358466	GSM358467	GSM358468	GSM358469	GSM358470	GSM358471	GSM358472	GSM358473	GSM358474	GSM358475	GSM358476	GSM358477	GSM358478	GSM437270	GSM437272	GSM437278	GSM437281	GSM437287	GSM437288	GSM437291	GSM437298	GSM437299	GSM437306	GSM437307	GSM437313	GSM437323	GSM437324
AARS	9.83726132538957	9.31643052648216	9.70195971243318	10.2690226134915	9.83388606685099	10.3677048714124	9.81372703606441	9.63027125485585	9.5221354822274	10.3359741991895	9.56507947734705	9.81399948141499	9.9163861508778	9.68844245312004	10.1041694457382	9.75540899920949	10.4443616424608	10.5715349404937	9.83480642724082	10.0222853738966	10.0275929684476	10.1302105763054	9.64409224805803	9.79418631753287	9.9170449230417	9.75052087741146	9.90683439716988	9.94136036794058	9.96993337130343	10.1431143818771	10.2575473870803	10.1157829654295	9.94360335702312	10.5065058834404	10.0459857181462	10.0474260993932	10.0096154545313	9.49979153144283	9.875966953987	10.2673085844614	9.8229602382299	9.52802346859688	9.59874669454755	10.0827775278291	9.28744434439086	9.91301454390336	9.97975512303704	9.68866483175004	9.80861210081987	9.98722412465686	10.2241310274578	10.0334753401533	10.0116496684606	9.65645795292263	9.87379968110774	9.8771591065654	10.0538462221881	10.4956717079951	11.2458475271801	9.61881410648771	9.85232405818253	9.69948455722785	10.3855153890559	9.95213381828976	9.64640281637251	9.88525929667571	10.0257850747056	9.67239171566013	10.0058457376285	9.8071683977516	9.82721679301062	9.66503234859482	10.154576478196	9.78161488108737	9.83540007382152	10.7276141928086	9.57446910052308	9.63136580352785	9.99909234501233	10.0901702106743	9.90552717515081	10.4372617379088	10.1241289802471	9.72679542391552	9.90262050118646	9.60419433679184	10.1822139602216	10.1256689321138	9.86370585984015	10.2614226470151	10.6954156090485	9.92030458997136	10.4141422489245	9.83602831721081	9.478275089	8.965139243	10.11644339	9.396868092	10.12269262	10.08182961	9.608793229	10.2854507	9.930820556	9.905520198	10.33445632	10.42966115	9.941450632	9.834182915
ABCC2	5.77349115984595	5.42439115756919	5.75568244553471	5.84546124054487	5.82596041874959	6.73875891524672	6.20160800231408	5.76767819863229	5.95254788244678	5.66517778209995	5.49003261145627	6.73915531734485	6.35931120562287	6.01993017464341	6.58697300135605	5.79590303046097	5.80593907898477	5.87042420355473	5.73206815342864	5.77430061447439	6.25524312786437	6.36914450969634	5.78759125991992	6.08170945432948	5.6826503353845	5.53824230028968	5.85099415497621	6.33973450333262	5.55940597326153	5.70158463139583	5.89424404931004	5.6148569596563	6.10312626234468	5.54978878397307	6.92171837697478	5.50561294074986	5.74258169864437	5.88677861993417	5.49071628078233	6.82203398829203	5.84916233894754	5.73737797369395	5.89576145679893	6.21164343133065	6.2656089626541	5.42983687243979	6.55945628536105	6.81513150921357	5.47477774336966	7.00767637339752	7.02028870491153	5.57036225642565	5.81893293110337	5.57509260106421	6.87284837543942	6.27150712700637	6.01297646163769	5.73311264053493	6.30185862139178	6.60811878801535	6.15344218984542	5.62943516365421	5.48244982698648	6.27776223539045	6.27089031927825	5.48517222044429	5.56390827237734	5.51897144156442	6.39352564937686	5.49311214038719	5.54497039879009	6.26557488897273	6.00021396909213	6.46143757376898	5.50464352136177	5.95724712061379	5.62268078363024	5.65546103549178	5.66297783538947	6.97934889402587	6.30107575751817	5.60991658587273	5.78012809623766	6.49642252520467	5.95136626616072	5.63412547564131	6.76142938651549	6.88451736145473	5.38812350648188	5.96737651702033	5.68353842198713	5.97276559346822	5.74296672369587	6.68646008325313	5.939102522	5.888231371	5.963960172	6.044337349	5.866333252	5.95478655	5.907357261	6.545570951	5.831907051	6.071649306	5.97803997	6.760929581	6.032382646	5.949129176
ABCC5	6.48963358604843	6.63829427194585	6.70027557682733	6.55690715168756	6.57960868697537	6.26596589164637	6.42879906113738	6.54463482276504	6.59626569542289	6.62969577033574	6.69165842345372	6.61641918409947	6.65990619340036	7.11442085893133	6.42273798429314	6.79198419396026	6.48070895733243	6.4581184593764	6.59241470958713	6.68068024209052	6.63124585563839	6.48364681222172	6.48156447922449	6.60578897100752	6.51115241649062	6.38129758558446	6.61116922017608	6.60741198465024	6.43313764944451	6.55313704528573	6.50857014734332	6.38673431134346	6.51143386834499	6.40068682379938	6.69537525591477	6.80703281475047	6.36894058615633	6.40405810173381	6.5463915934532	6.88926453013584	6.5404711101688	6.64084924670192	6.5653769723581	6.48178600785892	6.77671681398302	6.70669672930538	6.54760720709718	6.74355995478272	6.39812963865201	6.5062583392545	6.38944357322219	6.88549170308258	6.5660654243492	6.62341441942137	6.61396104616416	6.52235585043786	6.56367394811469	6.22144625536276	6.34760926119151	6.84659534507872	6.6201781411737	6.61222129643836	6.33097855333128	6.73630534656938	6.93624644936283	6.80504843933578	6.64469333508353	6.54384316111091	6.53685299593338	6.93382421621024	6.87551776203181	7.05102225870505	6.55769452614083	6.4464409473907	6.58964705239852	7.06248270964771	6.89515619001496	7.03439407719555	6.31128346152247	6.5949316976726	6.70334539059739	6.37610918716354	5.54107697632565	6.47847222019052	6.79269527006025	6.63545194764669	6.70962232646987	6.71601021820031	6.73951630633149	6.95872496961583	6.79863313023059	6.51813510440303	6.74232509455014	6.73914617320756	6.73100585066667	7.35667973666667	6.612038202	6.522644216	6.68873286633333	6.699706934	7.020138474	6.642184104	6.625282916	6.8578791	6.53554068866667	6.40230532533333	6.74326495933333	6.434484345
ABCF1	9.39985263894224	9.73686452913412	10.1681170278295	9.78649386114828	9.94788695455514	9.7163287100739	9.40462319488081	9.84221251248728	9.95539369208201	9.78274505629198	9.49753551551645	9.53478734532555	9.45468755115536	9.56492272553132	9.69170342407249	9.81061493383386	9.95941390224406	9.8426940361332	9.4932168738297	9.64545350658788	10.0515952631965	9.84588699319491	9.65464836508224	9.71173912375136	9.89463225565112	10.0887022022569	9.994603272464	9.58118000277341	9.49904115238752	9.98438654678961	9.85106572950796	9.71826699120129	9.76317436460847	9.48210535890418	9.89362287121294	9.67833214736845	9.77793589487136	9.19477437343525	9.80283682672362	9.83419177817566	10.1472718134485	9.75382272576406	9.46904455737899	9.66922354876554	9.877203480566	9.90825682120085	9.75287153830493	9.7855732193075	9.77499127463933	10.0301623589775	9.73413963135503	10.1521948221187	9.75287153830493	9.81083123214709	9.78156260507184	9.93106833273606	10.1233350146998	10.0087092790516	10.5091421050132	9.64163875001753	10.0455616484699	9.76082959173363	9.784398652316	9.784398652316	9.39636513516549	9.67768139114351	9.65026939572486	9.72682831835953	9.44141057560108	9.39283299626533	9.69323096546517	9.53196984916384	9.18374404656634	9.53612179158423	9.89107156339995	9.7959555398311	9.52128538719674	9.38851923068451	9.67659009006085	10.1528750574998	9.39091282787693	9.61071413649516	9.93673956691021	9.57292042187976	9.74839545317132	9.87397165084854	9.56820713041709	9.70612750428852	9.57333148609283	9.47574351869319	9.59922407886947	9.62641624764489	9.88372092079982	9.43142117455026	10.0285454	9.593433534	10.01409368	9.640832745	9.681242857	9.389753079	10.41936553	9.690914999	9.568459732	9.538210389	9.935941864	9.898051364	9.62371252	9.454352119
ABHD12	8.0829278644883	8.133227203705	7.94411631574878	8.3063862728007	7.82595404572968	8.05355710805296	8.14828641656122	8.39868291636596	8.64470437807697	9.06724283840663	8.41579028212764	8.76532935477317	8.56009434771246	8.71392915344313	8.7079159884872	8.96073042994759	9.37012017686259	9.91932681845291	8.98635164249824	8.31928532800124	8.71617912942206	8.40700202300985	8.7938905217056	9.10431892580623	8.57127842104349	7.95652451641258	8.59006839386254	8.27990634883995	8.90806973624761	7.97425578698883	8.40508406175716	9.36687946053179	7.84718843789011	8.67201241747149	8.42251524392419	7.95403222367029	8.87032689361855	8.91050306144558	8.40239494687465	8.36384567865263	8.05237933885586	9.03542749470992	8.32460260573727	8.7299513382135	7.81908122587657	8.48563549922455	8.84244822760176	8.70832987642425	8.53076309790575	8.99798997736153	8.87712386731269	7.7710402278169	8.28885760777311	8.43505228331589	8.19830437822409	7.9173236495989	8.79402581499047	7.9269064661933	8.97223849238647	8.60803318586197	7.44856835746449	8.90591894969571	7.98854959694305	8.61207640956436	7.41780583429456	8.48115936241114	7.99421569256227	8.51540424114999	8.37173408516888	8.71863858796353	8.34588252573285	9.55829507302184	8.38250460241738	8.04577583262215	8.30351758450736	9.43337255303558	9.46000286899723	7.70011732687739	7.93159915813549	8.2378342810443	8.67912728201508	8.74432965974144	7.77620784129384	8.3444356339519	8.33231776559981	8.33892093413369	8.45607901984062	9.387570417947	8.32144053068911	9.12585783074845	7.67035781151701	6.99289260899903	8.04058419888331	8.22670476496693	7.81328987533333	8.17084619533333	8.77698958033333	8.33344968833333	8.326208538	8.13083555233333	8.041594782	9.62275649666667	8.189780048	8.227117574	8.51118791	8.27982439533333	9.76935802666667	9.075870336
ACOX1	6.81061638504036	7.00722187444437	6.97382477623119	6.953689424589	6.73718579839444	7.66747840561596	6.99613210270249	6.97498061512762	6.92263803010399	7.28787149499257	6.74673529156438	7.13707309068597	7.45739507724891	7.39945080798543	6.84417539335461	7.30488804330011	7.1986514379789	7.49892169165879	7.26699069071867	6.91364406304153	6.95274595531827	6.94955110040768	6.99763519218883	7.41135971494485	7.0768900553677	6.85269861573059	6.91935037028138	7.33909936739852	7.30463825016304	7.27975880372591	6.99033443449972	7.29375155101213	6.77672928786864	7.02552845874254	6.9854519487443	7.08858554577323	7.33614732574873	7.14933941244418	6.93643693816862	6.81945913849084	6.93837583651227	7.00044354327013	7.03211836816693	7.49894526227601	6.95854500770991	7.0015206452855	7.22272622643912	7.4045636252793	7.10438141723056	7.20649172686177	7.30189519665675	7.34745149352055	7.07277123787143	6.75417608379774	7.08713975971848	7.21962583351476	6.85375284354249	7.29978945864409	7.07139068051951	7.81422502671636	7.47179473322794	7.43814089560915	6.94367337764043	7.8380724256164	7.64257253521782	7.6161156232532	7.06524521477282	7.26721951902113	7.63775681548228	8.11731772826444	7.35987570653409	7.49662048149111	7.43622913255073	7.5766370356348	7.41545450350437	7.77681088243819	7.7945514867308	7.45819522516285	7.35201371522157	7.33554368875274	7.7505328185166	7.39524924115259	7.42966907152589	7.52578094154631	7.39877679888357	7.04717260620363	7.61805912254271	7.10887370668465	7.28208329872674	7.69438762582259	7.67369168596744	7.0715637234185	6.94333726529194	6.99522543354337	7.0009527964	6.9798983864	7.2752495214	7.3704947472	7.513045572	7.18936709	7.7311995964	7.5792739894	7.355704565	7.1336571064	6.668214764	6.8922342252	7.520354154	7.2090691224
ACTN4	11.0064843512103	11.495003648291	11.2814656856389	11.2449577464127	11.6343266049619	10.8810545394497	10.7403902566574	11.1296722688226	10.8528554789332	11.2833775748477	10.7223471653276	11.3480869116557	10.8391132889458	10.7122650813636	11.060236185617	11.1344498788168	10.9459759887127	10.7343232398662	11.202909225162	10.9422280615455	10.8900139665794	11.1759317643189	11.3793281449249	11.2750884609657	11.1400405163307	10.909484696655	11.178606088654	10.9652562310656	11.1279489956403	10.8800083745345	10.5851971959324	11.3333030280707	10.474671053948	10.8515107796711	10.7355791652353	10.9345664178585	11.4724304038988	10.3885632642972	10.6677749376759	10.6857239709712	11.17953723584	11.446200670314	10.8764835258704	11.2212513515822	10.8460245672343	11.3281998459358	11.3140197081495	10.9799433453687	11.2858798069074	10.8058515758647	11.1331674706382	11.7229688031799	10.6167147948373	10.8340828388299	10.931963471884	10.858599609676	11.0638061703777	11.3867656881832	11.3041638407863	10.8555930054377	10.1922744102185	12.433109778391	10.9411272597698	11.3906299034117	11.158596545934	10.5740487034926	11.2000939301174	10.3434125180136	10.6839518348082	11.1417814609653	11.4986414126619	11.1974006215486	10.5259466352165	11.2750884609657	10.6271517864962	11.12708487577	11.5088850457732	10.627971819709	10.9638291425875	11.4019528472028	11.0003919670807	11.7137505623802	11.8924967369529	11.024345314169	11.8405780728241	11.2420169431793	11.1933912142716	11.3665811241918	11.1141191401562	11.2549480834663	11.5352552626877	11.3455077600402	11.2640589434656	11.1719108485872	11.11856454	10.31923042	11.3152192	10.8793801	10.9583309	10.95098628	11.25140035	11.70554981	10.84380525	10.8348866	10.59815393	11.06483762	11.00592843	11.13956983
ADAM19	7.21158856719413	7.43982427001933	7.65768562194619	7.78123264476751	7.45650192041721	7.47561134306916	7.45204490929339	7.75851743883948	7.46907501611399	7.85157572483106	7.57027604291614	7.25482808435183	7.3339759918754	7.33147670797021	7.36550654005568	7.36404245305701	7.34071882075654	7.44831251488759	7.36034289316913	7.49616503733607	7.69464615100323	7.58743161752466	7.45026410024348	7.59159699095164	7.32619822806829	7.18789869739116	7.39705401279991	6.71976118848225	7.37598264216311	7.17933307820783	7.46555129174897	7.20331619174998	7.3376740165799	7.4370357209221	7.57727311515973	7.5718383909672	7.55941473907695	7.56047435748193	7.50628418333562	7.50435661210973	7.58173827986325	7.33229916171609	7.44941396125236	7.42876889308527	7.39505569101908	7.05754286865635	7.17837436889131	6.8496929698126	7.08871962002209	7.35873316136407	7.42397000949607	7.79779996127056	7.19514163583068	7.19391797413252	7.37469793081226	7.13480725777227	7.69997654201037	7.4207979107254	7.68930509416983	7.4301484560715	7.13472704966338	7.57493453937736	7.67025670394987	7.28358992196772	7.63904542789649	7.22788842358587	7.57877410923157	7.17840451076873	7.326445100405	7.18062658820899	7.24099684292142	7.31470287232049	7.2316442957391	7.60972949325185	6.55815597653546	7.3369947831912	7.6167304892751	7.58367749172015	7.45350242532326	7.19279401522664	7.79023817105869	7.38937703443094	7.34875414164117	7.26542829155315	7.36333133200677	7.54358972721298	7.27230196955092	7.58433328321436	7.67382737421133	7.58190577096714	7.44841051000714	7.50956221907557	7.2422083067153	7.45471130262393	7.550494647	7.4403478715	8.02746035	7.1275096	7.414651519	6.9314545185	7.205632063	7.3574199735	7.240666369	7.391069199	7.2904755835	7.501795579	7.4081587915	7.176572761
ADH1B	6.07434569811555	6.49562562650391	5.32950126823222	5.23824560415335	6.53523823318612	5.88508961645452	5.4660449534118	5.92226637811777	5.58181047558494	4.86519904076726	5.37764906379863	4.93078725479861	5.02656698800419	5.35993153953951	4.76531961382388	5.69926286180934	4.99301576708136	5.02634824175205	6.37040997995434	5.61230173684688	5.70647843535296	5.75845743143564	5.29475810571966	5.46983626651783	6.50045440292434	4.87486526111569	5.79876911676648	5.30354859518949	6.07018988555756	5.10887226792362	4.73391526319377	5.94967417380213	6.83864984234333	5.15901036738254	6.09611903856091	5.27229373931708	6.16040643923229	4.6946989122894	5.41023885981608	5.17385864706821	4.7845306662089	5.32692233669028	5.85087755983659	5.30537178936856	5.83633042182207	5.37973180626439	6.34343253391982	5.68288185345339	5.4141164495701	5.56727787988158	5.64830500774849	5.76290284239262	5.84395843336339	5.29321908347185	5.6256798660222	6.56485548019555	5.73263475149794	4.99653444889525	4.87031040330736	5.63510291730349	4.59062706316058	5.28054787319766	4.8119544660235	5.08991327664028	5.05586887190383	6.52402056656395	4.95368504624836	6.05585403677051	5.93945096567775	5.12826591053529	4.91262691856487	5.20110000171304	4.27643595382549	5.46989208325587	4.56762888445148	5.63654110455451	4.55709137086387	6.83508496745358	4.81908057657483	4.48910172260852	6.0592916934263	5.49444423751844	5.51572486187484	6.83457625465479	5.2866763063529	4.78702190859353	4.77901615589396	6.11532664309232	5.2538342602529	5.4630979832455	5.95121344511213	5.99321407950732	4.68784404709072	6.57714645043149	4.88325675575	5.73615907775	5.12394240825	5.475106967	5.21225034875	5.209804556	4.98560796775	5.15036278025	6.17752669	7.65587589675	5.5869166245	5.905108415	6.16156767875	5.2224851845
ADRBK1	8.93762812867387	8.82079826770418	8.71596248575024	8.72899426876157	8.6971038366151	8.80186149394901	8.81788774818716	8.75134878111597	8.80797896116291	8.89604946881448	9.0527276095907	8.78296586325835	8.64104797012847	8.91094146856137	8.8990584412535	8.93916091544205	8.98881824307835	8.79023956307872	8.64195776851569	8.97531547236276	8.7822507258454	8.74905992739776	8.80598097380629	8.89921812347757	8.81487922034716	8.77141525100103	8.78768367146329	8.8431649906531	8.71785073953959	8.94554256941205	8.95966343503238	8.86631202518953	8.59302707168779	9.11434127296163	8.9457597356023	8.89959634144341	8.84340885410399	9.05328948892452	8.78218903717615	8.95867357939627	8.97052276665599	8.80349273330606	8.88544666060996	8.84170828827959	8.59214924201325	8.82758911500034	8.70231681919956	8.80976787072249	8.90713329029792	8.9640098962362	8.82960520666446	8.63179152368154	8.75627031183169	8.70590879864207	8.78744495854326	8.6375488049509	8.85758325859594	8.85103810477976	8.9437607915361	8.57687541154484	8.7058399496412	8.89730112021001	9.26732313063234	8.72182566009078	8.62863023554898	8.42039905854081	8.85901987206698	8.64848790923118	8.71063217199643	8.70231618183733	8.6453723060908	8.6004823947605	8.70510820072524	8.88163276129872	8.61440183825913	8.94318042059173	8.55809770297159	8.49373071837162	8.88363528281028	8.99943705118462	8.54423406808698	8.79218611707985	8.872706454608	8.69452559246192	8.89060153763351	8.80897815271221	8.7880905103245	8.74379299432116	8.85405908672218	8.7858662914658	8.66077260665906	8.81732083668976	8.77810865049765	8.55185737374987	8.84616351266667	8.77884917933333	9.047432408	8.87588498	8.70618369166667	8.579063987	8.716536318	8.754536808	8.73243265466667	8.676658692	8.89805622066667	8.89778759633333	8.445161955	8.79880440233333
